,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,Market Cap,Volume Avg,Sector ID,Sector,IDs,Sub-industry
,COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,77522889974,9283656,3,,,
,CNX,CONSOL Energy Inc.,reports,Energy,Coal & Consumable Fuels,"Cecil Township, Pennsylvania",,1070412,6663696990,3228269,3,,,
,ED,Consolidated Edison,reports,Utilities,Multi-Utilities & Unregulated Power,"New York, New York",,1047862,20291270029,2133785,10,,,
,STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",,16918,21391769963,1529302,2,,,
,GLW,Corning Inc.,reports,Industrials,Construction & Engineering,"Corning, New York",,24741,30469529995,8448546,6,,,
,COST,Costco Co.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,909832,61952539993,1931306,2,,,
,CCI,Crown Castle International Corp.,reports,Financials,REITs,"Houston, Texas",,1051470,28881940024,3364189,4,,,
,CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",9/30/1967,277948,33146729997,7162986,6,,,
,CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,26172,25478199933,1601597,6,,,
,CVS,CVS Caremark Corp.,reports,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",,64803,112529000018,4907643,2,,,
,DHI,D. R. Horton,reports,Consumer Discretionary,Construction,"Fort Worth, Texas",,882184,8959758990,7157768,1,,,
,DHR,Danaher Corp.,reports,Industrials,Industrial Machinery,Washington D.C,,313616,58020230006,3118899,6,,,
,DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,7613940973,1492039,1,,,
,DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",,927066,16130390023,841834,5,,,
,DE,Deere & Co.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",,315189,29171869980,2682677,6,,,
,DLPH,Delphi Automotive,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",12/24/2012,1521332,20349540012,2007495,1,,,
,DAL,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",9/10/2013,27904,39595700013,10957055,6,,,
,DNR,Denbury Resources Inc.,reports,Energy,Oil & Gas Exploration & Production,"Plano, Texas",,945764,2432682001,12629222,3,,,
,XRAY,Dentsply International,reports,Health Care,Health Care Supplies,"York, Pennsylvania",,818479,7179803977,906472,5,,,
,DVN,Devon Energy Corp.,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",,1090012,24656460020,4316213,3,,,
,DO,Diamond Offshore Drilling,reports,Energy,Oil & Gas Drilling,"Houston, Texas",,949039,4324268999,1659585,3,,,
,DTV,DirecTV,reports,Consumer Discretionary,Broadcasting & Cable TV,"El Segundo, California",,1465112,42629849961,2431485,1,,,
,DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",,1393612,24416619990,4192280,4,,,
,DISCA,Discovery Communications-A,reports,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",,1437107,12883969986,3646267,1,,,
,DISCK,Discovery Communications-C,reports,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",8/6/2014,1437107,12883970005,2219463,1,,,
,DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,29534,20347739979,5259964,1,,,
,DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/16/2011,935703,14432819979,3600169,1,,,
,D,Dominion Resources,reports,Utilities,Multi-Utilities & Unregulated Power,"Richmond, Virginia",,715957,44896889983,2432427,10,,,
,DOV,Dover Corp.,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,29905,11581979986,2271811,6,,,
,DOW,Dow Chemical,reports,Materials,Diversified Chemicals,"Midland, Michigan",,29915,53223799993,9486862,8,,,
,DPS,Dr Pepper Snapple Group,reports,Consumer Staples,Soft Drinks,"Plano, Texas",,1418135,15022020022,1381338,2,,,
,DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities & Unregulated Power,"Detroit, Michigan",,936340,15869039979,817433,10,,,
,DD,Du Pont (E.I.),reports,Materials,Diversified Chemicals,"Wilmington, Delaware",,30554,64512479985,3932450,8,,,
,DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1326160,61633300012,3063855,10,,,
,DNB,Dun & Bradstreet,reports,Industrials,Data Processing Services,"Short Hills, New Jersey",,1115222,4133579978,241315,6,,,
,ETFC,E-Trade,reports,Financials,Diversified Financial Services,"New York, New York",,1015780,6841295993,3221366,4,,,
